timestamp,latency_ms
2025-10-26T19:16:10.638201,32.45
2025-10-26T19:16:10.953888,9.81
2025-10-26T19:16:11.287789,7.02
2025-10-26T19:16:11.630525,13.76
2025-10-26T19:16:11.963396,11.08
2025-10-26T19:16:12.297739,7.60
2025-10-26T19:16:12.638221,9.91
2025-10-26T19:16:12.977031,10.20
2025-10-26T19:16:13.311691,7.75
2025-10-26T19:16:13.652758,11.22
2025-10-26T19:16:13.988421,8.29
2025-10-26T19:16:14.048201,11.05
2025-10-26T19:16:14.388039,12.63
2025-10-26T19:16:14.727610,13.99
2025-10-26T19:16:14.335034,16.72
2025-10-26T19:16:14.667982,12.43
2025-10-26T19:16:14.999840,7.47
2025-10-26T19:16:15.068493,14.16
2025-10-26T19:16:15.400581,7.81
2025-10-26T19:16:15.736365,8.66
2025-10-26T19:16:15.346931,15.87
2025-10-26T19:16:15.682616,13.17
2025-10-26T19:16:16.013189,7.63
2025-10-26T19:16:16.076786,8.60
2025-10-26T19:16:16.412603,7.83
2025-10-26T19:16:16.753529,10.53
2025-10-26T19:16:16.367568,19.04
2025-10-26T19:16:16.698624,10.93
2025-10-26T19:16:17.035783,9.36
2025-10-26T19:16:17.100471,16.34
2025-10-26T19:16:17.427527,9.17
2025-10-26T19:16:17.764847,10.33
2025-10-26T19:16:17.369390,7.80
2025-10-26T19:16:17.707172,7.34
2025-10-26T19:16:18.049348,11.03
2025-10-26T19:16:18.108927,15.69
2025-10-26T19:16:18.441411,10.44
2025-10-26T19:16:18.779479,10.16
2025-10-26T19:16:18.385647,9.50
2025-10-26T19:16:18.721470,6.95
2025-10-26T19:16:19.101139,48.45
2025-10-26T19:16:19.115850,7.79
2025-10-26T19:16:19.454907,11.45
2025-10-26T19:16:19.788285,7.26
2025-10-26T19:16:19.406211,14.08
2025-10-26T19:16:19.737445,10.64
2025-10-26T19:16:20.105048,40.07
2025-10-26T19:16:20.125942,6.43
2025-10-26T19:16:20.464862,9.45
2025-10-26T19:16:20.800750,8.18
2025-10-26T19:16:20.413462,7.95
2025-10-26T19:16:20.751380,9.24
2025-10-26T19:16:21.087649,10.78
2025-10-26T19:16:21.147442,15.13
2025-10-26T19:16:21.480363,10.89
2025-10-26T19:16:21.814080,6.35
2025-10-26T19:16:21.425630,9.17
2025-10-26T19:16:21.766019,12.77
2025-10-26T19:16:22.099633,10.29
2025-10-26T19:16:22.160649,15.28
2025-10-26T19:16:22.489280,8.43
2025-10-26T19:16:22.826863,10.17
2025-10-26T19:16:22.442352,13.39
2025-10-26T19:16:22.773650,10.55
2025-10-26T19:16:23.115211,15.06
2025-10-26T19:16:23.166531,9.93
2025-10-26T19:16:23.504120,9.01
2025-10-26T19:16:23.843249,9.96
2025-10-26T19:16:23.443757,8.39
2025-10-26T19:16:23.786110,12.58
2025-10-26T19:16:24.123584,13.45
2025-10-26T19:16:24.183228,9.81
2025-10-26T19:16:24.524538,12.96
2025-10-26T19:16:24.862141,11.76
2025-10-26T19:16:24.459977,10.58
2025-10-26T19:16:24.793656,8.81
2025-10-26T19:16:25.127220,7.09
2025-10-26T19:16:25.197380,10.17
2025-10-26T19:16:25.530614,6.20
2025-10-26T19:16:25.875229,12.59
2025-10-26T19:16:25.476973,13.89
2025-10-26T19:16:25.813677,11.96
2025-10-26T19:16:26.148782,9.46
2025-10-26T19:16:26.219585,16.33
2025-10-26T19:16:26.545684,7.64
2025-10-26T19:16:26.886317,9.82
2025-10-26T19:16:26.494964,15.67
2025-10-26T19:16:26.833101,14.97
2025-10-26T19:16:27.162347,9.48
2025-10-26T19:16:27.224535,8.90
2025-10-26T19:16:27.560824,7.02
2025-10-26T19:16:27.902631,10.35
2025-10-26T19:16:27.503524,10.52
2025-10-26T19:16:27.843147,13.07
2025-10-26T19:16:28.177619,11.50
2025-10-26T19:16:28.235105,8.53
2025-10-26T19:16:28.577192,12.42
2025-10-26T19:16:28.910702,9.78
2025-10-26T19:16:28.512841,6.34
2025-10-26T19:16:28.850280,10.02
2025-10-26T19:16:29.187745,9.97
2025-10-26T19:16:29.243413,7.43
2025-10-26T19:16:29.582981,9.21
2025-10-26T19:16:29.920142,8.92
2025-10-26T19:16:29.524426,8.14
2025-10-26T19:16:29.863615,9.67
2025-10-26T19:16:30.202086,11.38
2025-10-26T19:16:30.258670,7.81
2025-10-26T19:16:30.600294,10.83
2025-10-26T19:16:30.939422,11.67
2025-10-26T19:16:30.545943,15.31
2025-10-26T19:16:30.879438,10.88
2025-10-26T19:16:31.219070,12.05
2025-10-26T19:16:31.276772,8.59
2025-10-26T19:16:31.611587,9.59
2025-10-26T19:16:31.952343,16.21
2025-10-26T19:16:31.552922,7.08
2025-10-26T19:16:31.894853,12.02
2025-10-26T19:16:32.234609,13.28
2025-10-26T19:16:32.288603,15.59
2025-10-26T19:16:32.620190,9.37
2025-10-26T19:16:32.957146,10.97
2025-10-26T19:16:32.567246,4.76
2025-10-26T19:16:32.909985,11.42
2025-10-26T19:16:33.264125,26.25
2025-10-26T19:16:33.300809,16.13
2025-10-26T19:16:33.633903,10.31
2025-10-26T19:16:33.972763,10.96
2025-10-26T19:16:33.580868,8.05
2025-10-26T19:16:33.922742,11.61
2025-10-26T19:16:34.263936,14.40
2025-10-26T19:16:34.318433,15.85
2025-10-26T19:16:34.646751,10.16
2025-10-26T19:16:34.984161,9.12
2025-10-26T19:16:34.604796,15.39
2025-10-26T19:16:34.937053,9.19
2025-10-26T19:16:35.274209,7.72
2025-10-26T19:16:35.333899,19.69
2025-10-26T19:16:35.662809,14.22
2025-10-26T19:16:35.998451,11.66
2025-10-26T19:16:35.613817,9.41
2025-10-26T19:16:35.952511,9.93
2025-10-26T19:16:36.284677,6.60
2025-10-26T19:16:36.333814,9.78
2025-10-26T19:16:36.667569,7.24
2025-10-26T19:16:37.005983,7.38
2025-10-26T19:16:36.631649,13.41
2025-10-26T19:16:36.971356,14.94
2025-10-26T19:16:37.301363,6.79
2025-10-26T19:16:37.346721,9.13
2025-10-26T19:16:37.683993,10.37
2025-10-26T19:16:38.022572,10.74
2025-10-26T19:16:37.644082,11.18
2025-10-26T19:16:37.978722,10.99
2025-10-26T19:16:38.317912,11.81
2025-10-26T19:16:38.368454,10.18
2025-10-26T19:16:38.706558,10.15
2025-10-26T19:16:39.045652,11.04
2025-10-26T19:16:38.655298,10.30
2025-10-26T19:16:38.993018,9.88
2025-10-26T19:16:39.334493,14.06
2025-10-26T19:16:39.384931,14.56
2025-10-26T19:16:39.711630,7.40
2025-10-26T19:16:40.047773,9.33
2025-10-26T19:16:39.681520,25.26
2025-10-26T19:16:40.002591,7.93
2025-10-26T19:16:40.345215,12.38
2025-10-26T19:16:40.384971,8.17
2025-10-26T19:16:40.724979,9.74
2025-10-26T19:16:41.062775,10.57
2025-10-26T19:16:40.692070,19.47
2025-10-26T19:16:41.018244,7.17
2025-10-26T19:16:41.367904,18.20
2025-10-26T19:16:41.395287,8.41
2025-10-26T19:16:41.735311,10.37
2025-10-26T19:16:42.066338,6.93
2025-10-26T19:16:41.694191,7.30
2025-10-26T19:16:42.034696,9.57
2025-10-26T19:16:42.374354,12.92
2025-10-26T19:16:42.405053,8.05
2025-10-26T19:16:42.742559,7.33
2025-10-26T19:16:43.076577,7.21
2025-10-26T19:16:42.710886,8.16
2025-10-26T19:16:43.051107,9.91
2025-10-26T19:16:43.395403,19.43
2025-10-26T19:16:43.416477,7.82
2025-10-26T19:16:43.755166,8.05
2025-10-26T19:16:44.087477,6.71
2025-10-26T19:16:43.727783,11.17
2025-10-26T19:16:44.064516,9.31
2025-10-26T19:16:44.403976,10.18
2025-10-26T19:16:44.432004,6.27
2025-10-26T19:16:44.771116,7.20
2025-10-26T19:16:45.111282,9.09
2025-10-26T19:16:44.739829,9.86
2025-10-26T19:16:45.080529,11.97
2025-10-26T19:16:45.414241,8.10
2025-10-26T19:16:45.448537,6.98
2025-10-26T19:16:45.785847,7.39
2025-10-26T19:16:46.120507,6.81
2025-10-26T19:16:45.761188,15.05
2025-10-26T19:16:46.096034,11.49
2025-10-26T19:16:46.429363,6.65
2025-10-26T19:16:46.460720,8.15
2025-10-26T19:16:46.797823,7.03
2025-10-26T19:16:47.138070,9.10
2025-10-26T19:16:46.787889,25.01
2025-10-26T19:16:47.112672,13.98
2025-10-26T19:16:47.447609,10.82
2025-10-26T19:16:47.477610,7.95
2025-10-26T19:16:47.815313,8.41
2025-10-26T19:16:48.153983,8.61
2025-10-26T19:16:47.788955,13.66
2025-10-26T19:16:48.125408,14.50
2025-10-26T19:16:48.462390,13.87
2025-10-26T19:16:48.490025,7.15
2025-10-26T19:16:48.829882,8.74
2025-10-26T19:16:49.165802,8.72
2025-10-26T19:16:48.804768,16.23
2025-10-26T19:16:49.136235,9.32
2025-10-26T19:16:49.475379,10.53
2025-10-26T19:16:49.503172,6.55
2025-10-26T19:16:49.841993,8.29
2025-10-26T19:16:49.825563,21.15
2025-10-26T19:16:50.150902,10.58
2025-10-26T19:16:50.491012,12.56
2025-10-26T19:16:50.821107,5.90
2025-10-26T19:16:56.896985,5.60
2025-10-26T19:16:57.242697,13.04
2025-10-26T19:16:57.579903,11.64
