timestamp,latency_ms
2025-10-26T19:16:08.257749,7.93
2025-10-26T19:16:08.597586,11.92
2025-10-26T19:16:08.931666,11.18
2025-10-26T19:16:09.262657,6.84
2025-10-26T19:16:09.602898,8.67
2025-10-26T19:16:09.937278,8.20
2025-10-26T19:16:10.279772,10.75
2025-10-26T19:16:10.615422,9.47
2025-10-26T19:16:10.963538,19.06
2025-10-26T19:16:11.294642,13.73
2025-10-26T19:16:11.625953,9.04
2025-10-26T19:16:11.968342,15.90
2025-10-26T19:16:12.301932,11.72
2025-10-26T19:16:12.640191,11.62
2025-10-26T19:16:12.979634,12.45
2025-10-26T19:16:13.319274,15.05
2025-10-26T19:16:13.661232,19.48
2025-10-26T19:16:13.992964,12.60
2025-10-26T19:16:14.049112,11.85
2025-10-26T19:16:14.391586,16.07
2025-10-26T19:16:14.758302,44.24
2025-10-26T19:16:14.336266,17.56
2025-10-26T19:16:14.674117,18.19
2025-10-26T19:16:15.007658,15.12
2025-10-26T19:16:15.073990,19.34
2025-10-26T19:16:15.407231,14.33
2025-10-26T19:16:15.742636,14.54
2025-10-26T19:16:15.358109,26.80
2025-10-26T19:16:15.691564,21.72
2025-10-26T19:16:16.024246,18.43
2025-10-26T19:16:16.091865,23.29
2025-10-26T19:16:16.423875,18.95
2025-10-26T19:16:16.757287,14.13
2025-10-26T19:16:16.392523,43.48
2025-10-26T19:16:16.707761,19.67
2025-10-26T19:16:17.040237,13.43
2025-10-26T19:16:17.091269,6.89
2025-10-26T19:16:17.441329,22.79
2025-10-26T19:16:17.774537,19.70
2025-10-26T19:16:17.373822,12.10
2025-10-26T19:16:17.724098,24.07
2025-10-26T19:16:18.057779,19.12
2025-10-26T19:16:18.108780,15.23
2025-10-26T19:16:18.448129,16.96
2025-10-26T19:16:18.779249,9.65
2025-10-26T19:16:18.390647,14.29
2025-10-26T19:16:18.729752,15.13
2025-10-26T19:16:19.063878,11.03
2025-10-26T19:16:19.119643,11.54
2025-10-26T19:16:19.458014,14.38
2025-10-26T19:16:19.806853,25.44
2025-10-26T19:16:19.424511,32.21
2025-10-26T19:16:19.740926,13.99
2025-10-26T19:16:20.074279,9.21
2025-10-26T19:16:20.145279,25.59
2025-10-26T19:16:20.465757,10.15
2025-10-26T19:16:20.800699,8.02
2025-10-26T19:16:20.420441,14.82
2025-10-26T19:16:20.756902,14.65
2025-10-26T19:16:21.091145,14.06
2025-10-26T19:16:21.146533,13.81
2025-10-26T19:16:21.490782,20.88
2025-10-26T19:16:21.841584,33.60
2025-10-26T19:16:21.441239,24.57
2025-10-26T19:16:21.775283,21.54
2025-10-26T19:16:22.106365,16.84
2025-10-26T19:16:22.174776,29.15
2025-10-26T19:16:22.492862,11.69
2025-10-26T19:16:22.831677,14.87
2025-10-26T19:16:22.439672,10.48
2025-10-26T19:16:22.770981,7.32
2025-10-26T19:16:23.116016,15.67
2025-10-26T19:16:23.165781,8.81
2025-10-26T19:16:23.525339,30.15
2025-10-26T19:16:23.874620,39.72
2025-10-26T19:16:23.473490,38.06
2025-10-26T19:16:23.791385,17.53
2025-10-26T19:16:24.141114,30.88
2025-10-26T19:16:24.191175,17.71
2025-10-26T19:16:24.524336,12.39
2025-10-26T19:16:24.869631,18.85
2025-10-26T19:16:24.466170,16.54
2025-10-26T19:16:24.797346,12.23
2025-10-26T19:16:25.133234,12.92
2025-10-26T19:16:25.197147,9.58
2025-10-26T19:16:25.537141,12.62
2025-10-26T19:16:25.877672,14.69
2025-10-26T19:16:25.475349,11.89
2025-10-26T19:16:25.815727,13.64
2025-10-26T19:16:26.158721,19.27
2025-10-26T19:16:26.219474,15.89
2025-10-26T19:16:26.550060,11.80
2025-10-26T19:16:26.892737,15.83
2025-10-26T19:16:26.492885,13.27
2025-10-26T19:16:26.831276,12.50
2025-10-26T19:16:27.163320,10.37
2025-10-26T19:16:27.224452,8.75
2025-10-26T19:16:27.566974,12.88
2025-10-26T19:16:27.908555,15.90
2025-10-26T19:16:27.501479,8.17
2025-10-26T19:16:27.847952,17.75
2025-10-26T19:16:28.178540,12.33
2025-10-26T19:16:28.239058,12.42
2025-10-26T19:16:28.576896,11.47
2025-10-26T19:16:28.911517,9.94
2025-10-26T19:16:28.513396,6.80
2025-10-26T19:16:28.860575,20.19
2025-10-26T19:16:29.188443,10.62
2025-10-26T19:16:29.244234,8.21
2025-10-26T19:16:29.591395,17.12
2025-10-26T19:16:29.928708,17.40
2025-10-26T19:16:29.524125,7.79
2025-10-26T19:16:29.875069,21.06
2025-10-26T19:16:30.201239,10.45
2025-10-26T19:16:30.258146,7.01
2025-10-26T19:16:30.604485,14.53
2025-10-26T19:16:30.935569,7.32
2025-10-26T19:16:30.539849,8.89
2025-10-26T19:16:30.888356,19.42
2025-10-26T19:16:31.217142,9.40
2025-10-26T19:16:31.284158,15.54
2025-10-26T19:16:31.616894,14.57
2025-10-26T19:16:31.951961,15.52
2025-10-26T19:16:31.554764,8.72
2025-10-26T19:16:31.901527,18.37
2025-10-26T19:16:32.232665,10.84
2025-10-26T19:16:32.283528,10.19
2025-10-26T19:16:32.628633,17.46
2025-10-26T19:16:32.963752,17.32
2025-10-26T19:16:32.571570,8.88
2025-10-26T19:16:32.913960,14.31
2025-10-26T19:16:33.261795,23.31
2025-10-26T19:16:33.300471,15.14
2025-10-26T19:16:33.642397,18.71
2025-10-26T19:16:33.977178,15.09
2025-10-26T19:16:33.580404,7.52
2025-10-26T19:16:33.927129,15.70
2025-10-26T19:16:34.262628,13.00
2025-10-26T19:16:34.317612,14.70
2025-10-26T19:16:34.653913,16.99
2025-10-26T19:16:34.988435,13.10
2025-10-26T19:16:34.600181,9.80
2025-10-26T19:16:34.941095,12.88
2025-10-26T19:16:35.278433,11.74
2025-10-26T19:16:35.333789,19.23
2025-10-26T19:16:35.662869,14.19
2025-10-26T19:16:36.002681,15.55
2025-10-26T19:16:35.613357,8.90
2025-10-26T19:16:35.956269,13.29
2025-10-26T19:16:36.287804,9.61
2025-10-26T19:16:36.333664,9.30
2025-10-26T19:16:36.667366,6.70
2025-10-26T19:16:37.015661,16.94
2025-10-26T19:16:36.628642,10.00
2025-10-26T19:16:36.970906,14.38
2025-10-26T19:16:37.308206,13.55
2025-10-26T19:16:37.357135,19.44
2025-10-26T19:16:37.690817,17.09
2025-10-26T19:16:38.042372,30.25
2025-10-26T19:16:37.658314,25.24
2025-10-26T19:16:37.990910,23.06
2025-10-26T19:16:38.323649,17.26
2025-10-26T19:16:38.372618,14.28
2025-10-26T19:16:38.724275,27.77
2025-10-26T19:16:39.058785,23.40
2025-10-26T19:16:38.656137,11.10
2025-10-26T19:16:39.009807,25.30
2025-10-26T19:16:39.342109,21.35
2025-10-26T19:16:39.391763,21.16
2025-10-26T19:16:39.724617,20.02
2025-10-26T19:16:40.074268,35.62
2025-10-26T19:16:39.674934,18.27
2025-10-26T19:16:40.024093,29.34
2025-10-26T19:16:40.343982,10.88
2025-10-26T19:16:40.384644,7.70
2025-10-26T19:16:40.734425,18.86
2025-10-26T19:16:41.067327,14.83
2025-10-26T19:16:40.682836,9.97
2025-10-26T19:16:41.022172,10.69
2025-10-26T19:16:41.391727,41.09
2025-10-26T19:16:41.407749,20.73
2025-10-26T19:16:41.740780,15.58
2025-10-26T19:16:42.074261,14.68
2025-10-26T19:16:41.708485,21.38
2025-10-26T19:16:42.041595,16.11
2025-10-26T19:16:42.410065,47.32
2025-10-26T19:16:42.424373,27.24
2025-10-26T19:16:42.758094,22.67
2025-10-26T19:16:43.092448,22.82
2025-10-26T19:16:42.724050,21.08
2025-10-26T19:16:43.057600,16.08
2025-10-26T19:16:43.393020,16.60
2025-10-26T19:16:43.420287,11.37
2025-10-26T19:16:43.754843,7.38
2025-10-26T19:16:44.086937,5.80
2025-10-26T19:16:43.725935,9.00
2025-10-26T19:16:44.067844,12.27
2025-10-26T19:16:44.423737,29.64
2025-10-26T19:16:44.431973,6.17
2025-10-26T19:16:44.776528,12.29
2025-10-26T19:16:45.111067,8.66
2025-10-26T19:16:44.738409,7.97
2025-10-26T19:16:45.078441,9.52
2025-10-26T19:16:45.435801,29.34
2025-10-26T19:16:45.457346,15.58
2025-10-26T19:16:45.790548,11.69
2025-10-26T19:16:46.141123,27.28
2025-10-26T19:16:45.759455,13.08
2025-10-26T19:16:46.108956,24.10
2025-10-26T19:16:46.440634,17.85
2025-10-26T19:16:46.474860,22.19
2025-10-26T19:16:46.808988,18.13
2025-10-26T19:16:47.158839,29.35
2025-10-26T19:16:46.790675,27.51
2025-10-26T19:16:47.124492,25.41
2025-10-26T19:16:47.457676,20.60
2025-10-26T19:16:47.490903,20.55
2025-10-26T19:16:47.824747,17.65
2025-10-26T19:16:48.174216,28.73
2025-10-26T19:16:47.807659,32.09
2025-10-26T19:16:48.141805,30.68
2025-10-26T19:16:48.461167,12.60
2025-10-26T19:16:48.491776,8.76
2025-10-26T19:16:48.829612,8.14
2025-10-26T19:16:49.169870,12.72
2025-10-26T19:16:48.803602,14.74
2025-10-26T19:16:49.140858,13.88
2025-10-26T19:16:49.491772,26.50
2025-10-26T19:16:49.515214,18.31
2025-10-26T19:16:49.858254,23.57
2025-10-26T19:16:49.824734,20.07
2025-10-26T19:16:50.156390,16.03
2025-10-26T19:16:50.488337,9.71
2025-10-26T19:16:50.839570,24.24
2025-10-26T19:16:54.532065,8.60
2025-10-26T19:16:54.876310,12.06
2025-10-26T19:16:55.207755,6.38
2025-10-26T19:16:55.625434,88.94
2025-10-26T19:16:55.883662,7.46
2025-10-26T19:16:56.227425,12.41
2025-10-26T19:16:56.564685,12.03
2025-10-26T19:16:56.902231,10.69
